gene_target,disease,manifestation,role,n_supporting_papers,evidence_tier,n_fulltext_supported,n_fulltext_partial,n_fulltext_not_supported,n_papers_fulltext_read,n_papers_abstract_only,mechanism,study_system,manifestation_in_fulltext_differs,supporting_pmids,paper_access
SMO,Not specified,Meningioma,driver,1,abstract only,0,0,0,0,1,Recently discovered driver mutation in meningiomas,review,,36959063,36959063:abstract_only
SOS1,NF1,Other,therapeutic target,1,abstract only,0,0,0,0,1,"Upstream Ras activator; its repression reduces proliferation and increases selumetinib sensitivity, but inhibition alone has limited efficacy.",cell line,,40587782,40587782:abstract_only
SOS2,NF1,Other,modifier,1,abstract only,0,0,0,0,1,"Compensates for SOS1 inhibition, limiting efficacy of SOS1-targeted therapy in NF1-deficient peripheral nerve cells.",cell line,,40587782,40587782:abstract_only
SOX10,NF1,Cutaneous neurofibroma,biomarker,1,abstract only,0,0,0,0,1,High SOX10 expression in NF1-null Schwann cell lineage cells; marks cells of origin for neurofibromas,human tissue,,33108355,33108355:abstract_only
SOX10,NF1,Plexiform neurofibroma,biomarker,1,abstract only,0,0,0,0,1,High SOX10 expression in NF1-null Schwann cell lineage cells; marks cells of origin for neurofibromas,human tissue,,33108355,33108355:abstract_only
SOX10,NF1,ANNUBP / atypical neurofibroma,modifier,1,abstract only,0,0,0,0,1,"Global chromatin reorganization silences SOX10, preventing gliogenesis and enabling neuro-mesenchymal transcriptional programs.",mouse model,,42310314,42310314:abstract_only
SPP1,Not specified,High grade glioma,modifier,1,abstract only,0,0,0,0,1,Myeloid immunosuppressive interaction in NF1-silenced tumours,mouse model,,40215269,40215269:abstract_only
SPP1,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,SPP1-CD44 signaling initiated by tumor cells and macrophages,mouse model,,41053414,41053414:abstract_only
SPP1,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,SPP1-CD44 signaling initiated by tumor cells and macrophages,mouse model,,41053414,41053414:abstract_only
SPRED1,NF1,Other,modifier,1,abstract only,0,0,0,0,1,Interaction with neurofibromin provides functional insight into pathogenicity of missense variants,review,,29681099,29681099:abstract_only
SPRED1/2,NF1,Plexiform neurofibroma,modifier,1,abstract only,0,0,0,0,1,"SPRED1/2 loss phenocopies NF1 loss, cooperating to regulate RAS-independent MAPK-AKT signaling in Schwann cells",cell line,,42201959,42201959:abstract_only
SRC,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,Src/SFK activation upon NF2 loss; blocked by dasatinib,cell line,,29982664,29982664:abstract_only
SRC,Not specified,Non-optic LGG,therapeutic target,1,abstract only,0,0,0,0,1,"SRC activation blocked by combination TAK228 and trametinib, reduces endothelial migration",cell line,,31841591,31841591:abstract_only
SSTR2A,Not specified,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,Peptide radioactive radiation therapy targeting SSTR2A receptors,review,,36959063,36959063:abstract_only
STAT3,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Reduces macrophage proliferation and inflammatory cytokine expression,mouse model,,30542122,30542122:abstract_only
SUFU,Not specified,Meningioma,driver,1,abstract only,0,0,0,0,1,Screened as meningioma predisposition gene in cohort,human tissue,,28759666,28759666:abstract_only
SURVIVIN,NF2-SWN,Vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,ErbB2-dependent upregulation; downregulated by lapatinib,cell line,,20511180,20511180:abstract_only
Simvastatin,NF1,Cardiovascular issues,therapeutic target,1,abstract only,0,0,0,0,1,Oral simvastatin reduces aneurysm formation in Nf1(+/-) mice,mouse model,,24370551,24370551:abstract_only
TBK1,NF2-SWN,Vestibular schwannoma,modifier,1,abstract only,0,0,0,0,1,Mutant NF2 eliminates TBK1 activation via phase-separated condensates,mouse model,,34453890,34453890:abstract_only
TEAD,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,1,0,Palmitoylation inhibition blocks and regresses schwannoma growth,mouse model,,36148553,36148553:full_text
TEAD,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,1,0,Palmitoylation inhibition blocks and regresses schwannoma growth,mouse model,,36148553,36148553:full_text
TEAD1,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,1,0,TEAD1 inhibition reverses merlin-depleted Schwann cell phenotype and suppresses tumor growth,mouse model,,41293003,41293003:full_text
TEAD1,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Hippo pathway transcription factor; suppression reduces MPNST vulnerability,cell line,,35261809,35261809:abstract_only
TERT,Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,"Promoter mutation in cerebellar diffuse gliomas, associated with shorter survival",human tissue,,33606385,33606385:abstract_only
TFR1,Not specified,Other,driver,1,abstract only,0,0,0,1,0,YAP activation increases intracellular iron level via TFR1 upregulation,cell line,,37080959,37080959:full_text
TFRC,Not specified,Other,therapeutic target,1,abstract only,0,0,0,1,0,Ferroptosis modulator upregulated downstream of NF2-YAP signalling,review,,31341276,31341276:full_text
TGFB1,NF1,Cutaneous neurofibroma,modifier,1,abstract only,0,0,0,0,1,Elevated TGF-β1 modulates macrophage accumulation in cutaneous neurofibromas,cell line,,32323813,32323813:abstract_only
TGFB1,NF1,Bone defects,modifier,1,abstract only,0,0,0,0,1,Paracrine factor produced by NF1-deficient Schwann cells that induces fibrotic differentiation of wild-type SSPCs,mouse model,,38924432,38924432:abstract_only
TGFB1,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,TGFβ1 overexpression in NF1-deficient Schwann cells promoted PNF growth and malignant transformation in vivo,mouse model,,40540562,40540562:abstract_only
TGFBR1,NF1,Cutaneous neurofibroma,modifier,1,abstract only,0,0,0,0,1,TGF-β1/TGFβ1 receptor signaling modulates macrophage proliferation,cell line,,32323813,32323813:abstract_only
TGFBR1,NF2-SWN,Non-vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,"PRG-N-01 binds TβR1 kinase domain, blocking TβR1-RKIP interaction and preventing RKIP degradation, suppressing schwannoma growth",mouse model,,39731295,39731295:abstract_only
TGFBR1,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Pharmacologic inhibition of TGFβ type I receptor reduced PNF tumor burden and basement membrane protein deposition,mouse model,,40540562,40540562:abstract_only
TGFBR3,NF1,Other,biomarker,1,abstract only,0,0,0,1,0,Expression altered in ataluren-responsive cells; identified as feasible biomarker,cell line,,41256734,41256734:full_text
TNF-α,Not specified,High grade glioma,driver,1,abstract only,0,0,0,1,0,Neutrophil-derived TNF-α directly drives mesenchymal transition in GBM,mouse model,,37012245,37012245:full_text
TNFRSF10B,NF2-SWN,Non-vestibular schwannoma,modifier,1,abstract only,0,0,0,0,1,"Fimepinostat upregulates TRAIL receptor 2, contributing to caspase-3-dependent apoptosis in schwannoma cells.",cell line,,41898501,41898501:abstract_only
TNFRSF10B,NF2-SWN,Vestibular schwannoma,modifier,1,abstract only,0,0,0,0,1,"Fimepinostat upregulates TRAIL receptor 2, contributing to caspase-3-dependent apoptosis in schwannoma cells.",cell line,,41898501,41898501:abstract_only
TNFRSF1A,NF2-SWN,Non-vestibular schwannoma,modifier,1,abstract only,0,0,0,0,1,Fimepinostat downregulates TNFR1 as part of its pro-apoptotic signaling effect in schwannoma cells.,cell line,,41898501,41898501:abstract_only
TNFRSF1A,NF2-SWN,Vestibular schwannoma,modifier,1,abstract only,0,0,0,0,1,Fimepinostat downregulates TNFR1 as part of its pro-apoptotic signaling effect in schwannoma cells.,cell line,,41898501,41898501:abstract_only
TNIK,Not specified,Cardiovascular issues,driver,1,abstract only,0,0,0,0,1,Downstream mediator of Rap2a effects on cardiac fibroblasts,mouse model,,40332594,40332594:abstract_only
TP53,Not specified,Other,modifier,1,abstract only,0,0,0,1,0,Loss cooperates with RIT1 and Nf2 inactivation to drive lung cancer,mouse model,,41004338,41004338:full_text
TP53,NF1,Cognition / Behavioral / Learning,modifier,1,abstract only,0,0,0,0,1,p53 checkpoint regulator dysregulated in NF1 mutant tissue,mouse model,,29925695,29925695:abstract_only
TP53,NF1,Cutaneous neurofibroma,modifier,1,abstract only,0,0,0,0,1,p53 checkpoint regulator dysregulated in NF1 mutant tissue,mouse model,,29925695,29925695:abstract_only
TP53,NF1,Pain,modifier,1,abstract only,0,0,0,0,1,p53 checkpoint regulator dysregulated in NF1 mutant tissue,mouse model,,29925695,29925695:abstract_only
TP53,NF1,ANNUBP / atypical neurofibroma,biomarker,1,abstract only,0,0,0,0,1,Wild-type p53 immunostaining pattern supports ANNUBP diagnosis versus MPNST,human tissue,,42135588,42135588:abstract_only
TSC1,Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,Subclonal mutations in TSC1; upregulation of MAPK/TSC1/mTOR pathway,human tissue,,31258848,31258848:abstract_only
TWIST1,Not specified,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Hub gene identified in PPI network of MPNST-specific DEGs,computational,,37796695,37796695:abstract_only
TYRO3,Not specified,Meningioma,driver,1,abstract only,0,0,0,1,0,Increased phosphorylation in recurrent atypical meningiomas,human tissue,,27158663,27158663:full_text
USP22,Not specified,Hematologic malignancies,driver,1,abstract only,0,0,0,0,1,"USP22 deficiency blocks myeloid differentiation, promotes AML transformation via PU.1 deubiquitylation",mouse model,,29844011,29844011:abstract_only
VEGFA,NF1,Cutaneous neurofibroma,driver,1,abstract only,0,0,0,0,1,AR-regulated transcription promotes angiogenesis and tumor growth,human tissue,,31059067,31059067:abstract_only
VEGFA,Not specified,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,1,0,VEGF signaling associated with neovascularization and peritumoral edema,clinical trial,,36225651,36225651:full_text
VEGFA,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Sorafenib targets VEGF receptor; failed in phase II clinical trial,clinical trial,,37677047,37677047:abstract_only
VEGFA,NF2-SWN,Ependymoma,therapeutic target,1,abstract only,0,0,0,0,1,Bevacizumab monoclonal antibody against VEGF reduces vestibular schwannoma size,clinical trial,,41250253,41250253:abstract_only
VEGFA,NF1,Other,driver,1,abstract only,0,0,0,1,0,VEGF suppresses neurofibromin and activates Mek-Erk and PI3K-Akt signaling,cell line,,29847659,29847659:full_text
VEGFA,NF1,Non-optic LGG,therapeutic target,1,abstract only,0,0,0,0,1,Bevacizumab (anti-VEGFA); efficacy in progressive LGGs,clinical trial,,32601903,32601903:abstract_only
VEGFR2,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Cabozantinib inhibits VEGFR2; reduced PN size in mouse model,clinical trial,,33442015,33442015:abstract_only
WNT/β-catenin,NF1,Malignant peripheral nerve sheath tumor (MPNST),modifier,1,abstract only,0,0,0,0,1,Downstream effector pathway regulated by HuR in MPNST cells,human tissue,,32315290,32315290:abstract_only
WNT5A,Not specified,Other,therapeutic target,1,abstract only,0,0,0,1,0,ROR2-dependent Hippo pathway activation suppresses YAP1 activity,cell line,,36622276,36622276:full_text
WWTR1,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,TEAD1 co-activator in Hippo pathway; suppression reduces MPNST vulnerability,cell line,,35261809,35261809:abstract_only
Wnt signaling,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Wingless/int signaling pathway dysregulation,review,,24470531,24470531:abstract_only
Wnt/β-catenin,NF2-SWN,Meningioma,modifier,1,abstract only,0,0,0,1,0,Ligand-mediated Wnt/β-catenin signaling promotes NF2-mutant meningioma; targetable by ICG-001,cell line,,32642722,32642722:full_text
XKR3,Not specified,Other,therapeutic target,1,abstract only,0,0,0,0,1,Germline mutations found in PAVS patients; proposed genetic predisposition factor,human tissue,,35175984,35175984:abstract_only
XKR3,Not specified,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Germline mutations found in PAVS patients; proposed genetic predisposition factor,human tissue,,35175984,35175984:abstract_only
XPO1,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Nuclear export inhibition; IκB nuclear sequestration; NFκB inhibition,mouse model,,28314790,28314790:abstract_only
YAP1,NF1,Cutaneous neurofibroma,driver,1,abstract only,0,0,0,0,1,Activated YAP1 promotes macrophage proliferation via CCL5 and TGF-β1,cell line,,32323813,32323813:abstract_only
YAP1,Not specified,Cardiovascular issues,driver,1,abstract only,0,0,0,0,1,Downstream effector in TNIK/Merlin/YAP signaling pathway,mouse model,,40332594,40332594:abstract_only
YAP1,NF2-SWN,Ependymoma,modifier,1,abstract only,0,0,0,0,1,Associated with Merlin deficiency; may promote tumor growth in NF2-related tumors,review,,38928264,38928264:abstract_only
YAP1,NF2-SWN,Meningioma,modifier,1,abstract only,0,0,0,0,1,Associated with Merlin deficiency; may promote tumor growth in NF2-related tumors,review,,38928264,38928264:abstract_only
YAP1,NF2-SWN,Non-vestibular schwannoma,modifier,1,abstract only,0,0,0,0,1,"Fimepinostat downregulates YAP, a downstream effector implicated in merlin-loss driven schwannoma cell signaling.",cell line,,41898501,41898501:abstract_only
YAP1-TEAD,NF1,Cutaneous neurofibroma,modifier,1,abstract only,0,0,0,1,0,Dampening Hippo pathway could be attractive therapeutic approach,mouse model,,30348677,30348677:full_text
YAP1-TEAD,NF1,Plexiform neurofibroma,modifier,1,abstract only,0,0,0,1,0,Dampening Hippo pathway could be attractive therapeutic approach,mouse model,,30348677,30348677:full_text
YAP1-TEAD,Not specified,Non-vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,Pathway-level analysis suggested Hippo signaling pathway may be a critical pathway controlling initiation of spinal schwannoma,human tissue,,33193598,33193598:abstract_only
YAP1/WWTR1 (YAP/TAZ),NF1,Malignant peripheral nerve sheath tumor (MPNST),modifier,1,abstract only,0,0,0,0,1,Downstream effector pathway regulated by HuR in MPNST cells,human tissue,,32315290,32315290:abstract_only
YAP1/WWTR1 (YAP/TAZ),NF2-SWN,Meningioma,driver,1,abstract only,0,0,0,1,0,Hippo signalling effectors drive NF2-null tumour cell growth,mouse model,,36148553,36148553:full_text
YAP1/WWTR1 (YAP/TAZ),Not specified,Other,driver,1,abstract only,0,0,0,1,0,YAP/TAZ dysregulation drives tumor dependency in carcinomas and sarcomas,cell line,,39058094,39058094:full_text
ZFTA-YAP1,Not specified,Ependymoma,driver,1,abstract only,0,0,0,0,1,Fusion gene found in supratentorial and spinal ependymomas,human tissue,,34812989,34812989:abstract_only
ZNF331,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Frequent deletion; cell cycle regulation dysfunction,human tissue,,33831431,33831431:abstract_only
